Data;1455 - Índice volume de vendas no varejo - Total - Brasil - Índice;1522 - Índice volume de vendas no varejo - Móveis e eletrodomésticos - Brasil - Índice;20101 - Livros, jornais, revistas e papelaria - Índice;20662 - Concessões de crédito com recursos livres - Pessoas físicas - Total - R$ (milhões);20698 - Concessões de crédito com recursos direcionados - Pessoas físicas - Total - R$ (milhões);28473 - Índice volume de vendas no varejo - Total - Brasi - Dados dessazonalizados - Índice;28478 - Índice volume de vendas no varejo - Móveis e eletrodomésticos - Brasil - Dados dessazonalizados - Índice;28481 - Livros, jornais, revistas e papelaria - Dados dessazonalizados - Índice
09/2018;89,40 ;74,90 ;43,10 ;127.550 ;19.148 ;93,20 ;81,20 ;56,10
10/2018;92,70 ;77,40 ;45,00 ;145.814 ;20.408 ;92,90 ;79,90 ;52,70
11/2018;101,70 ;101,00 ;45,10 ;155.258 ;17.775 ;95,50 ;85,10 ;50,90
12/2018;120,30 ;100,60 ;68,10 ;151.927 ;18.062 ;93,20 ;77,10 ;51,30
01/2019;92,60 ;83,70 ;81,10 ;148.422 ;11.395 ;95,00 ;81,00 ;49,00
02/2019;85,60 ;71,60 ;64,90 ;141.180 ;13.818 ;94,70 ;80,50 ;49,10
03/2019;90,30 ;76,60 ;43,80 ;141.285 ;14.158 ;96,50 ;81,90 ;49,70
04/2019;89,50 ;74,10 ;42,00 ;151.983 ;16.667 ;94,60 ;82,60 ;48,90
05/2019;92,70 ;83,50 ;42,50 ;158.451 ;19.331 ;93,90 ;81,00 ;53,30
06/2019;89,70 ;72,90 ;37,90 ;146.165 ;20.327 ;93,70 ;81,40 ;46,30
07/2019;92,80 ;80,10 ;45,20 ;165.869 ;18.963 ;94,40 ;82,90 ;49,00
08/2019;95,20 ;77,80 ;44,10 ;159.893 ;21.589 ;94,80 ;81,50 ;48,30
09/2019;91,40 ;81,00 ;36,50 ;158.811 ;21.727 ;96,10 ;86,00 ;46,90
10/2019;96,60 ;83,70 ;39,10 ;170.128 ;23.465 ;96,60 ;87,60 ;46,30
11/2019;104,90 ;105,80 ;38,60 ;167.346 ;20.489 ;97,40 ;88,60 ;44,40
12/2019;123,50 ;119,40 ;69,40 ;184.965 ;21.038 ;97,10 ;91,00 ;51,90
01/2020;93,90 ;93,00 ;84,10 ;169.238 ;14.753 ;96,50 ;90,70 ;50,10
02/2020;89,60 ;80,00 ;60,00 ;153.292 ;14.601 ;96,90 ;90,80 ;45,40
03/2020;89,30 ;67,20 ;29,10 ;153.698 ;18.314 ;95,90 ;69,70 ;32,50
04/2020;74,20 ;47,70 ;12,50 ;121.500 ;18.945 ;78,30 ;53,60 ;14,60
05/2020;85,90 ;76,80 ;14,00 ;124.156 ;19.457 ;86,70 ;75,20 ;18,10
06/2020;90,20 ;91,20 ;22,70 ;141.406 ;22.241 ;94,20 ;99,30 ;26,40
07/2020;97,90 ;101,30 ;33,90 ;150.112 ;24.653 ;98,10 ;104,50 ;36,70
08/2020;101,10 ;106,00 ;25,00 ;153.465 ;28.983 ;101,90 ;113,00 ;28,00
09/2020;98,00 ;104,30 ;23,10 ;160.581 ;28.157 ;102,00 ;107,60 ;29,30
10/2020;104,70 ;102,00 ;25,60 ;168.718 ;27.967 ;103,20 ;106,60 ;30,40
11/2020;108,60 ;124,80 ;32,60 ;179.529 ;26.334 ;103,40 ;107,20 ;38,40
12/2020;125,10 ;122,50 ;43,40 ;181.966 ;28.206 ;97,10 ;91,90 ;32,00
01/2021;93,60 ;88,20 ;39,40 ;153.596 ;19.364 ;96,90 ;88,50 ;24,00
02/2021;86,10 ;80,50 ;35,40 ;153.793 ;20.438 ;97,50 ;94,20 ;27,10
03/2021;91,30 ;75,10 ;23,40 ;172.379 ;29.373 ;96,10 ;76,70 ;26,20
04/2021;91,70 ;81,60 ;24,50 ;172.562 ;28.107 ;98,30 ;91,70 ;28,30
05/2021;99,60 ;94,20 ;22,30 ;187.839 ;32.275 ;100,60 ;92,40 ;29,10
06/2021;95,90 ;86,30 ;26,60 ;189.609 ;34.148 ;99,50 ;93,40 ;30,50
07/2021;103,60 ;89,10 ;26,00 ;190.294 ;34.985 ;102,20 ;91,90 ;28,70
08/2021;96,90 ;85,00 ;25,40 ;197.313 ;39.972 ;99,00 ;90,70 ;28,40
09/2021;-;-;-;193.578 ;37.264 ;-;-;-
Fonte;IBGE;IBGE;IBGE;BCB-DSTAT;BCB-DSTAT;IBGE;IBGE;IBGE
